id_entrega,id_estudiante,fecha_subida,materia,tipo_proyecto,puntaje_obtenido,estado_entrega
PRJ-2001,E004,2026-08-01,Sistemas de Bases de Datos,Modelado ER,88.0,Aprobado
PRJ-2002,E005,2026-08-02,Desarrollo de Software,Prototipo,91.0,Aprobado
PRJ-2003,E009,2026-08-03,DataOps,Pipeline,85.5,Aprobado
PRJ-2004,E010,2026-08-04,Sistemas de Bases de Datos,Script SQL,96.0,Aprobado
PRJ-2005,E014,2026-08-05,Desarrollo de Software,API REST,79.0,Aprobado
PRJ-2006,E015,2026-08-05,DataOps,Pipeline,82.0,Aprobado
PRJ-2007,E018,2026-08-06,Sistemas de Bases de Datos,Normalización,94.0,Aprobado
PRJ-2008,E999,2026-08-07,Desarrollo de Software,Frontend,100.0,Aprobado
PRJ-2009,E019,2026-08-08,Sistemas de Bases de Datos,Script SQL,88.0,Aprobado
PRJ-2010,E022,2026-08-09,DataOps,Deploy,91.0,Aprobado
PRJ-2011,E023,2026-08-10,Desarrollo de Software,Testing,85.0,Aprobado
PRJ-2012,E026,2026-08-11,Sistemas de Bases de Datos,Modelado ER,97.0,Aprobado
PRJ-2013,E029,2026-08-12,Desarrollo de Software,API REST,83.0,Aprobado
PRJ-2014,E030,2026-08-12,Sistemas de Bases de Datos,Script SQL,74.0,Revisión
PRJ-2015,E004,2026-08-13,DataOps,Pipeline,,Pendiente
PRJ-2016,E005,2026-08-14,Desarrollo de Software,Prototipo,92.0,Aprobado
PRJ-2017,E009,2026-08-14,Sistemas de Bases de Datos,Normalización,86.0,Aprobado
PRJ-2018,E888,2026-08-15,DataOps,Deploy,60.0,Revisión
PRJ-2019,E010,2026-08-15,Desarrollo de Software,Testing,98.0,Aprobado
PRJ-2020,E014,2026-08-16,Sistemas de Bases de Datos,Script SQL,80.0,Aprobado
PRJ-2021,E015,2026-08-17,DataOps,Pipeline,84.0,Aprobado
PRJ-2022,E018,2026-08-17,Desarrollo de Software,API REST,95.0,Aprobado
PRJ-2023,E019,2026-08-18,DataOps,Deploy,89.0,Aprobado
PRJ-2024,E022,2026-08-18,Desarrollo de Software,Testing,93.0,Aprobado
PRJ-2025,E023,2026-08-19,Sistemas de Bases de Datos,Normalización,87.0,Aprobado
PRJ-2026,E026,2026-08-19,DataOps,Pipeline,99.0,Aprobado
PRJ-2027,E029,2026-08-20,Desarrollo de Software,Prototipo,85.0,Aprobado
PRJ-2028,E030,2026-08-20,Sistemas de Bases de Datos,Modelado ER,76.0,Aprobado
PRJ-2029,E004,2026-08-21,DataOps,Deploy,90.0,Aprobado
PRJ-2030,E005,2026-08-21,Desarrollo de Software,API REST,94.0,Aprobado
PRJ-2031,E009,2026-08-22,Sistemas de Bases de Datos,Script SQL,88.0,Aprobado
PRJ-2032,E777,2026-08-22,DataOps,Pipeline,,Pendiente
PRJ-2033,E010,2026-08-23,Desarrollo de Software,Testing,97.0,Aprobado
PRJ-2034,E014,2026-08-23,Sistemas de Bases de Datos,Normalización,82.0,Aprobado
PRJ-2035,E015,2026-08-24,DataOps,Deploy,86.0,Aprobado
PRJ-2036,E018,2026-08-24,Desarrollo de Software,Prototipo,96.0,Aprobado
PRJ-2037,E019,2026-08-25,Sistemas de Bases de Datos,Modelado ER,90.0,Aprobado
PRJ-2038,E022,2026-08-25,DataOps,Pipeline,92.0,Aprobado
PRJ-2039,E023,2026-08-26,Desarrollo de Software,API REST,88.0,Aprobado
PRJ-2040,E026,2026-08-26,Sistemas de Bases de Datos,Normalización,100.0,Aprobado
PRJ-2041,E029,2026-08-27,DataOps,Deploy,87.0,Aprobado
PRJ-2042,E030,2026-08-27,Desarrollo de Software,Testing,78.0,Revisión
PRJ-2043,E004,2026-08-28,Sistemas de Bases de Datos,Modelado ER,91.0,Aprobado
PRJ-2044,E005,2026-08-28,DataOps,Deploy,95.0,Aprobado
PRJ-2045,E009,2026-08-29,Desarrollo de Software,Testing,89.0,Aprobado
PRJ-2046,E010,2026-08-29,Sistemas de Bases de Datos,Script SQL,98.0,Aprobado
PRJ-2047,E014,2026-08-30,DataOps,Pipeline,84.0,Aprobado
PRJ-2048,E015,2026-08-30,Desarrollo de Software,API REST,87.0,Aprobado
